grupo_causa;local_ocorrencia_desc;total_obitos
Afecções perinatais;Hospital;459
Malformações congênitas;Hospital;243
Aparelho respiratório;Hospital;53
Doenças infecciosas e parasitárias;Hospital;49
Causas externas;Hospital;48
Sistema nervoso;Hospital;23
Neoplasias e sangue;Hospital;22
Sintomas e causas mal definidas;Domicílio;17
Sintomas e causas mal definidas;Hospital;14
Endócrinas, nutricionais e metabólicas;Hospital;14
Causas externas;Domicílio;13
Outras causas;Hospital;13
Causas externas;Via pública;9
Causas externas;Outro estabelecimento de saúde;9
Causas externas;Outros;8
Aparelho circulatório;Hospital;8
Afecções perinatais;Domicílio;6
Aparelho respiratório;Outro estabelecimento de saúde;6
Malformações congênitas;Outro estabelecimento de saúde;6
Aparelho respiratório;Domicílio;5
Malformações congênitas;Domicílio;4
Sistema nervoso;Domicílio;4
Afecções perinatais;Outro estabelecimento de saúde;3
Doenças infecciosas e parasitárias;Outro estabelecimento de saúde;3
Endócrinas, nutricionais e metabólicas;Domicílio;2
Aparelho circulatório;Domicílio;2
Sistema nervoso;Outro estabelecimento de saúde;2
Endócrinas, nutricionais e metabólicas;Outro estabelecimento de saúde;2
Sintomas e causas mal definidas;Outro estabelecimento de saúde;2
Outras causas;Outro estabelecimento de saúde;1
Sintomas e causas mal definidas;Outros;1
Sintomas e causas mal definidas;Via pública;1
