ano;faixa_etaria_bi;total_obitos
2005;1 a 4 anos;8
2005;Menor de 1 ano;71
2006;1 a 4 anos;8
2006;Menor de 1 ano;62
2007;1 a 4 anos;10
2007;Menor de 1 ano;62
2008;1 a 4 anos;16
2008;Menor de 1 ano;48
2009;1 a 4 anos;12
2009;Menor de 1 ano;47
2010;1 a 4 anos;12
2010;Menor de 1 ano;49
2011;1 a 4 anos;7
2011;Menor de 1 ano;37
2012;1 a 4 anos;12
2012;Menor de 1 ano;42
2013;1 a 4 anos;9
2013;Menor de 1 ano;60
2014;1 a 4 anos;8
2014;Menor de 1 ano;54
2015;1 a 4 anos;7
2015;Menor de 1 ano;58
2016;1 a 4 anos;9
2016;Menor de 1 ano;43
2017;1 a 4 anos;3
2017;Menor de 1 ano;49
2018;1 a 4 anos;9
2018;Menor de 1 ano;37
2019;1 a 4 anos;3
2019;Menor de 1 ano;42
2020;1 a 4 anos;9
2020;Menor de 1 ano;34
2021;1 a 4 anos;10
2021;Menor de 1 ano;47
2022;1 a 4 anos;5
2022;Menor de 1 ano;53
