grupo_causa;total_obitos;obitos_hospitalares;obitos_domicilio;percentual_hospitalar;percentual_domicilio
Afecções perinatais;468;459;6;98.1;1.3
Malformações congênitas;253;243;4;96.0;1.6
Causas externas;87;48;13;55.2;14.9
Aparelho respiratório;64;53;5;82.8;7.8
Doenças infecciosas e parasitárias;52;49;0;94.2;0.0
Sintomas e causas mal definidas;35;14;17;40.0;48.6
Sistema nervoso;29;23;4;79.3;13.8
Neoplasias e sangue;22;22;0;100.0;0.0
Endócrinas, nutricionais e metabólicas;18;14;2;77.8;11.1
Outras causas;14;13;0;92.9;0.0
Aparelho circulatório;10;8;2;80.0;20.0
